ticker,date,rsi,vix,result,return,days,year,return_pct
AMD,2024-12-20,15.639139460353462,18.360000610351562,WIN,0.05,1,2024,5.0
BAC,2024-08-05,3.7128426063136146,38.56999969482422,WIN,0.05,2,2024,5.0
BAC,2024-08-06,6.951175567164668,27.709999084472656,WIN,0.05,1,2024,5.0
BAC,2025-02-27,18.35684018750895,21.1299991607666,WIN,0.05,2,2025,5.0
MS,2025-03-11,17.480130707972037,26.920000076293945,WIN,0.05,4,2025,5.0
C,2025-03-07,13.587213543127845,23.3700008392334,LOSS,-0.02,1,2025,-2.0
C,2025-03-11,12.397081354933562,26.920000076293945,TIMEOUT,0.043542742077865695,5,2025,4.3542742077865695
WFC,2024-08-05,19.381614047212295,38.56999969482422,WIN,0.05,5,2024,5.0
WFC,2024-08-06,16.679643471897293,27.709999084472656,TIMEOUT,0.019011106209028086,5,2024,1.9011106209028086
WFC,2025-03-11,18.012749687712386,26.920000076293945,WIN,0.05,3,2025,5.0
TGT,2025-03-17,13.310786668506111,20.510000228881836,LOSS,-0.02,4,2025,-2.0
TGT,2025-03-19,16.411618173005905,19.899999618530273,LOSS,-0.02,2,2025,-2.0
TGT,2025-03-21,11.697243634453201,19.280000686645508,WIN,0.05,2,2025,5.0
SBUX,2024-12-20,7.528287582354466,18.360000610351562,WIN,0.05,4,2024,5.0
SBUX,2025-03-20,18.963585131007108,19.799999237060547,LOSS,-0.02,1,2025,-2.0
SBUX,2025-04-07,19.4314160565838,46.97999954223633,WIN,0.05,1,2025,5.0
SHOP,2024-04-16,15.701360405140065,18.399999618530273,WIN,0.05,5,2024,5.0
SHOP,2024-08-05,11.877719117315621,38.56999969482422,WIN,0.05,1,2024,5.0
SHOP,2025-03-11,15.870203984628986,26.920000076293945,WIN,0.05,1,2025,5.0
SHOP,2025-11-18,16.24649785116054,24.690000534057617,WIN,0.05,1,2025,5.0
NET,2025-03-04,19.735827860781683,23.510000228881836,WIN,0.05,1,2025,5.0
NET,2025-03-11,19.209733992738634,26.920000076293945,WIN,0.05,1,2025,5.0
MDB,2024-10-03,12.283926978785416,20.489999771118164,WIN,0.05,1,2024,5.0
PLTR,2024-04-16,19.222909708323954,18.399999618530273,LOSS,-0.02,2,2024,-2.0
IWM,2024-12-20,19.669286071416863,18.360000610351562,TIMEOUT,0.009514983160791473,5,2024,0.9514983160791474
IWM,2025-03-04,19.74267239646622,23.510000228881836,LOSS,-0.02,3,2025,-2.0
IWM,2025-03-07,19.66671326951392,23.3700008392334,LOSS,-0.02,1,2025,-2.0
