category,strategy,hold_period,original_t_stat,train_mean_return,train_n_samples,train_t_stat,train_sharpe,train_p_value,test_mean_return,test_n_samples,test_t_stat,test_sharpe,test_p_value,degradation_pct,t_stat_preserved,bonferroni_holm_significant
CONSECUTIVE,After2Down_H1,1,11.120224106448829,0.0012636856436782054,332005,12.52906839041607,0.34518088519433454,0.0,0.0020203171194596143,603575,7.100301568929514,0.1450813017412668,1.2463363674442007e-12,43.32937336058611,True,True
CONSECUTIVE,After2Up_H3,3,8.973634311365709,0.0011555162405735473,380747,8.409254660978416,0.21634134726008952,0.0,0.0008264179864864823,637845,6.11217227304647,0.12148936975066166,9.834062453251136e-10,27.3161234917897,True,True
CONSECUTIVE,After2Down_H3,3,14.199874989952752,0.00200638927980985,329538,12.306369448217879,0.34031216071214754,0.0,0.0046471169249118266,597025,11.469074613743729,0.23563098019434192,0.0,6.80375181321573,True,True
CONSECUTIVE,After2Up_H5,5,10.5030371984433,0.0008158208254683353,376889,4.926775462256761,0.1273961516258688,8.363305610270544e-07,0.0021010371352829325,634629,11.821645987048054,0.23556906776592798,0.0,-139.94692020393043,True,True
CONSECUTIVE,After2Down_H5,5,15.161899957873464,0.00461200935891592,326024,19.55228809214312,0.5435920196679117,0.0,0.006382886709628516,591118,13.93350614903746,0.2876892220917465,0.0,28.737209254621753,True,True
CONSECUTIVE,After2Up_H10,10,13.841707478515072,0.0026927164636181356,366945,12.83244659668667,0.336286357206212,0.0,0.004197011282003336,621941,15.955441948639988,0.32116966208494363,0.0,-24.336710294665664,True,True
CONSECUTIVE,After2Down_H10,10,20.04115327545399,0.006989522256424113,318636,23.103782524301586,0.6497345145416601,0.0,0.011326960317519981,581296,22.078168898604115,0.45968957472450545,0.0,4.439158932606313,True,True
CONSECUTIVE,After3Down_H1,1,3.7556657702135663,0.0013198621247691744,150273,7.411329248539257,0.30349804600766767,1.2567724638756772e-13,0.002805057064371743,282252,4.824013810201887,0.14414191873553797,1.407708798861762e-06,34.91027522285991,True,True
CONSECUTIVE,After3Up_H3,3,3.322147787873101,0.0009532014412292377,188476,5.277597311881866,0.19297830705613245,1.3103299267847035e-07,0.00025360307464288305,308504,1.4052060261488049,0.040161495309703886,0.1599610296731795,73.37413328248529,False,False
CONSECUTIVE,After3Down_H3,3,6.504356204156045,0.002857290018992093,149149,10.489582132214881,0.4311697511985122,0.0,0.005952521175023575,278039,7.3352772498928545,0.22083298603734522,2.2182256032010628e-13,30.07083449620689,True,True
CONSECUTIVE,After3Up_H5,5,6.42196412902216,0.0007249092849905675,187279,3.6079674328567672,0.132348291184365,0.0003086855056391169,0.001366083086427297,306381,6.128265655771101,0.17575469653198922,8.894984748764045e-10,-69.85368548403932,True,True
CONSECUTIVE,After3Down_H5,5,9.91587549544285,0.005749785898826819,147184,17.223791316237012,0.712686815520583,0.0,0.00787881014557124,275831,9.276479708007889,0.2803896201879675,0.0,46.14147641661871,True,True
CONSECUTIVE,After3Up_H10,10,11.439157547182074,0.0029196323388189613,180744,10.736760078727052,0.40090509378234035,0.0,0.0038747554417987557,300078,11.0840057168578,0.32120325169090275,0.0,-3.2341752594318596,True,True
CONSECUTIVE,After3Down_H10,10,14.295291111824094,0.008452003796284883,144913,17.422764257049902,0.726546904972505,0.0,0.013648533038361351,271667,15.658405899885905,0.47690225247701,0.0,10.126741836904973,True,True
